"TP53","CDKN1A","CDKN2A","SIRT1","RB1","TERT","CDK4","CDKN2B","MAPK1","MAPK14","MTOR","TERF2","UBC","CDK6","HMGA2","E2F1","CCNA2","MDM2","CXCL8","HSPA8","LMNB1","MAPK3","MAPKAPK5","ATM","CDKN1B","score"
"TCGA-A7-A3RF-01A-11R-A22K-07",54.4166,518.086,18.5582,15.3796,26.6266,0.046,59.0839,21.1149,70.1861,22.4885,19.8201,29.0639,547.861,20.9117,0.0181,13.6441,8.7191,15.2092,3.4779,1084.9563,17.5071,126.6016,7.3558,4.5228,18.2791,0.638728846985335
"TCGA-A7-A425-01A-11R-A24H-07",47.4556,84.9583,6.5992,16.476,18.233,0.9027,62.1374,16.3816,43.8602,28.6837,17.6109,18.7895,598.0538,6.5962,0.0296,48.1982,17.7102,9.7641,0.9092,504.771,74.5974,162.66,8.6583,3.2541,192.193,0.179183199458047
"TCGA-A7-A4SC-01A-12R-A266-07",49.3237,105.8656,12.9112,26.2482,47.1995,0.147,40.6181,31.7445,69.6973,28.2963,21.7114,16.184,626.4656,6.801,0.0578,15.4515,13.1456,15.923,1.6037,1014.0691,18.0297,92.8525,10.5165,11.0621,203.3615,0.206829252556534
"TCGA-A7-A56D-01A-11R-A27Q-07",11.8053,115.774,17.8858,2.0616,3.814,0.3544,22.3351,9.4089,10.3093,12.6592,4.6676,8.3727,469.2526,2.1661,0.038,42.4456,3.0769,5.739,2.1579,532.0327,4.6722,139.8659,3.4285,0.6788,60.9218,0.481910075864809
"TCGA-A7-A5ZV-01A-11R-A28M-07",6.8107,102.3646,0.7144,12.3794,16.1455,0.1339,77.1129,1.1399,63.7501,32.5254,14.8484,38.3716,892.0246,2.3568,0.0658,54.7568,25.2495,6.9507,36.8333,422.4504,44.5819,79.8058,6.7669,3.9406,66.6226,0.488977372651562
"TCGA-A7-A6VX-01A-12R-A33J-07",37.3445,88.0992,65.7665,26.2774,9.8281,0.5872,66.9308,53.6747,139.7897,38.6328,25.5046,31.7466,840.499,3.9494,0.0989,68.1831,21.1135,23.1168,1.9962,1066.9297,61.6484,146.4728,8.2346,8.3239,332.5539,0.39930320332914
"TCGA-A8-A06N-01A-11R-A00Z-07",29.1106,84.5981,2.9226,37.6678,27.6877,0.1547,61.2465,12.9223,156.7699,50.4216,43.0843,31.3185,921.3609,0.9913,0.0061,61.5435,14.6613,41.0578,1.2269,876.3771,43.8047,191.8178,17.2903,7.9181,6.0509,0.698694867114495
"TCGA-A8-A06O-01A-11R-A00Z-07",37.2476,55.1853,3.8599,29.1122,24.6316,0.4342,57.7302,19.3399,110.3895,36.0999,29.8755,27.411,552.5966,2.89,0.0158,55.1449,42.9457,16.5389,2.1475,1186.7983,93.1544,63.6821,10.6334,6.3267,121.0655,0.62279428368657
"TCGA-A8-A06P-01A-11R-A00Z-07",75.191,239.4116,4.6529,22.2789,32.8751,0.0465,60.7937,19.1926,70.2296,38.8673,29.8644,14.3795,694.1824,8.9293,0.0914,13.7881,6.4377,20.0767,2.0922,794.225,11.8627,183.8855,8.8283,7.2265,115.6806,0.550453240427111
"TCGA-A8-A06Q-01A-11R-A034-07",51.1776,5.2295,4.2417,13.7778,45.7022,0.0834,57.4243,6.6163,63.3216,28.3069,31.6491,11.8313,437.1971,6.0518,0.0023,17.6174,16.9373,56.6306,0.4413,1050.6685,80.8118,66.3137,7.512,3.5816,74.3438,0.800170973257202
